3%,3
12 Monkeys,4
13 Reasons Why,4
3Below: Tales of Arcadia,2
Agent Carter,2
Archer,11
Arrow,8
Black Lightning,3
Black Mirror,5
BoJack Horseman,6
Breaking Bad,5
Brooklyn Nine-Nine,8
Cloak & Dagger,2
Continuum,4
Daredevil,3
DC's Legends of Tomorrow,5
Designated Survivor,3
F Is for Family,4
Falling Skies,5
Fear the Walking Dead,6
Final Space,2
Friends,10
Game of Thrones,8
Gotham,5
How I Met Your Mother,9
House of Cards,6
Iron Fist,2
Jessica Jones,3
Knightfall,2
Money Heist,4
Limitless,1
Lost in Space,2
Lucifer,5
Luke Cage,2
Misfits,5
Modern Family,11
Mr. Robot,5
Narcos,3
Orphan Black,5
Pine Gap,1
Prison Break,6
Rick and Morty,4
Riverdale,4
Salvation,2
Scorpion,4
Sense8,2
Sherlock,4
Shooter,3
Silicon Valley,6
Spartacus,4
Stranger Things,4
Suits,9
Super Girl,1
The 100,7
The Blacklist,7
The Defenders,1
The End of the F***ing World,2
The Expanse,5
The Flash,6
The Last Ship,5
The OA,2
The Punisher,2
The Walking Dead,11
Travelers,3
Trollhunters: Tales of Arcadia,3
Van Helsing,4
Vikings,7
Westworld,3
